people,saying,original,english_equivalent,source_title,source_url
English,Nothing succeeds like success.,,Nothing succeeds like success.,English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,Meaning: An inversion of "Misery loves company.".,,Meaning: An inversion of "Misery loves company.".,English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,"Nothing to be feared in life, but understood.",,"Nothing to be feared in life, but understood.",English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,"Templeton, J. M. (1998).",,"Templeton, J. M. (1998).",English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,"Nothing ventured, nothing gained.",,"Nothing ventured, nothing gained.",English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,"Variant: Nothing ventured, nothing have. -.",,"Variant: Nothing ventured, nothing have. -.",English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,An old dog will learn no tricks.,,An old dog will learn no tricks.,English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,"Meaning: It is impossible, or almost impossible, to change people's habits or traits or mindset.",,"Meaning: It is impossible, or almost impossible, to change people's habits or traits or mindset.",English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,Old habits die hard.,,Old habits die hard.,English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,"Hunt, La Jill (2009).",,"Hunt, La Jill (2009).",English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,One good turn deserves another.,,One good turn deserves another.,English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,Meaning: Treat someone good who has been treating you good.,,Meaning: Treat someone good who has been treating you good.,English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,One grain of sand can tip the scale.,,One grain of sand can tip the scale.,English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,"Waldman, S. (2005).",,"Waldman, S. (2005).",English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,One man's junk is another man's treasure.,,One man's junk is another man's treasure.,English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,"Guyer, C. S. (2011). On the Money Journal, Atlasbooks Distribution.",,"Guyer, C. S. (2011). On the Money Journal, Atlasbooks Distribution.",English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,One man's meat is another man's poison.,,One man's meat is another man's poison.,English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,One man's terrorist is another man's freedom fighter. - Ronald Reagan.,,One man's terrorist is another man's freedom fighter. - Ronald Reagan.,English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,"Abdul-Nabi, R. (2002).",,"Abdul-Nabi, R. (2002).",English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,"One might as well be hanged for a sheep as a lamb. - English, 17th century.",,"One might as well be hanged for a sheep as a lamb. - English, 17th century.",English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,Out of the frying pan into the fire.,,Out of the frying pan into the fire.,English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,Meaning: moving from a very difficult position to one that is worse.,,Meaning: moving from a very difficult position to one that is worse.,English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,"One murder makes a villain, millions a hero.",,"One murder makes a villain, millions a hero.",English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,"Milton, J. (1996).",,"Milton, J. (1996).",English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,One rotten apple will spoil the whole barrel.,,One rotten apple will spoil the whole barrel.,English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,Meaning: One bad person can influence many others to behave in a bad way.,,Meaning: One bad person can influence many others to behave in a bad way.,English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,Other meaning: One flaw will ruin the overall impression.,,Other meaning: One flaw will ruin the overall impression.,English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,One scabbed sheep mars the whole flock.,,One scabbed sheep mars the whole flock.,English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,"This Proverb is apply'd to such Persons who being vicious themselves,.",,"This Proverb is apply'd to such Persons who being vicious themselves,.",English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,One swallow doesn't make a summer.,,One swallow doesn't make a summer.,English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,"Webb, P. and C. Bain (2010).",,"Webb, P. and C. Bain (2010).",English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,"Once bitten, twice shy.",,"Once bitten, twice shy.",English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,"William Caxton, the first English printer, gave the earliest version of this saying in 'Aesope' (1484), his translation of Aesop's fables: 'He that hath ben ones begyled by somme other ought to kepe hym wel fro(m) the same.' Centuries later, the English novelist Robert Surtees referred to the saying in.",,"William Caxton, the first English printer, gave the earliest version of this saying in 'Aesope' (1484), his translation of Aesop's fables: 'He that hath ben ones begyled by somme other ought to kepe hym wel fro(m) the same.' Centuries later, the English novelist Robert Surtees referred to the saying in.",English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,"A variation, once burned, twice shy, is also traced back to.",,"A variation, once burned, twice shy, is also traced back to.",English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,The only free cheese is in the mouse trap.,,The only free cheese is in the mouse trap.,English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,Russian saying.,,Russian saying.,English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,"Gage, R. (2010).",,"Gage, R. (2010).",English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,The only stupid question is the one that is not asked.,,The only stupid question is the one that is not asked.,English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,"Hull, E., K. Jackson, et al. (2005).",,"Hull, E., K. Jackson, et al. (2005).",English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,Opportunity knocks only once.,,Opportunity knocks only once.,English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,An ounce of discretion is worth a pound of wit.,,An ounce of discretion is worth a pound of wit.,English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,Our greatest glory is not in never falling but in rising every time we fall.,,Our greatest glory is not in never falling but in rising every time we fall.,English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,Out of sight... Out of mind.,,Out of sight... Out of mind.,English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,Cf. Fulke Greville's sonnet "And out of minds as soons as out of sight".,,Cf. Fulke Greville's sonnet "And out of minds as soons as out of sight".,English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,Meaning: You will not see a thing which is out of your sight.,,Meaning: You will not see a thing which is out of your sight.,English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,Out of small acorns grow mighty oaks.,,Out of small acorns grow mighty oaks.,English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,A meager beginning can still result in something magnificent.,,A meager beginning can still result in something magnificent.,English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,"Waters Yarsinke, Amy (2000).",,"Waters Yarsinke, Amy (2000).",English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,One should fight fire with fire.,,One should fight fire with fire.,English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,Meaning: to use the same methods as someone else in order to defeat them.,,Meaning: to use the same methods as someone else in order to defeat them.,English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,Paddle your own canoe.,,Paddle your own canoe.,English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,Meaning: Act independently.,,Meaning: Act independently.,English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,"Lababidi, Lesley Kitchen (1997).",,"Lababidi, Lesley Kitchen (1997).",English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,The pen is mightier than the sword.,,The pen is mightier than the sword.,English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,"Mazer, Anna (2009).",,"Mazer, Anna (2009).",English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,A penny saved is a penny earned.,,A penny saved is a penny earned.,English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,"Penny wise, pound foolish.",,"Penny wise, pound foolish.",English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,People who live in glass houses shouldn't throw stones.,,People who live in glass houses shouldn't throw stones.,English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,Perfect Planning Prevents Piss Poor Performance.,,Perfect Planning Prevents Piss Poor Performance.,English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,"Mitchell, D. A. (2006).",,"Mitchell, D. A. (2006).",English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,A picture is worth a thousand words.,,A picture is worth a thousand words.,English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,"originally a marketing slogan, promoting magazine display ads).",,"originally a marketing slogan, promoting magazine display ads).",English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,"Sexton, P. (2008).",,"Sexton, P. (2008).",English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,The pitcher which goes too often to the well gets broken.,,The pitcher which goes too often to the well gets broken.,English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,Meaning: Long-term success will eventually result in failure.,,Meaning: Long-term success will eventually result in failure.,English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,Politeness costs nothing and gains everything. <M.W. Montagu>.,,Politeness costs nothing and gains everything. <M.W. Montagu>.,English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,Politics makes strange bedfellows.,,Politics makes strange bedfellows.,English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,Meaning: Politics will create unholy alliances.,,Meaning: Politics will create unholy alliances.,English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,"Poets are born, but orators are trained.",,"Poets are born, but orators are trained.",English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,"Meaning: Some things can be improved by training, others require innate talent.",,"Meaning: Some things can be improved by training, others require innate talent.",English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,Power tends to corrupt; absolute power corrupts absolutely.,,Power tends to corrupt; absolute power corrupts absolutely.,English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,Attributed to Lord Acton.,,Attributed to Lord Acton.,English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,Practice before you preach.,,Practice before you preach.,English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,"Maister, David H (2001).",,"Maister, David H (2001).",English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,Practice makes perfect.,,Practice makes perfect.,English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,"James, Julie (2009).",,"James, Julie (2009).",English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,Prevention is better than cure.,,Prevention is better than cure.,English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,Meaning: It is best to be proactive.,,Meaning: It is best to be proactive.,English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,"Russell, Louise B (1986).",,"Russell, Louise B (1986).",English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,Pride comes before the fall.,,Pride comes before the fall.,English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,"Jakes, TD (2010).",,"Jakes, TD (2010).",English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,The proof of the pudding is in the eating.,,The proof of the pudding is in the eating.,English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,Meaning: You will not really learn about something unless you test it.,,Meaning: You will not really learn about something unless you test it.,English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,Procrastination is the thief of time.,,Procrastination is the thief of time.,English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,Proverbs run in pairs.,,Proverbs run in pairs.,English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,Put a beggar on horseback and he'll ride it to death.,,Put a beggar on horseback and he'll ride it to death.,English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,Meaning: If you get rich suddenly you will spend a lot of money.,,Meaning: If you get rich suddenly you will spend a lot of money.,English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,Put a beggar on horseback and he'll ride to the devil.,,Put a beggar on horseback and he'll ride to the devil.,English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,Put your money where your mouth is.,,Put your money where your mouth is.,English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,"Barry M, Casper (2000).",,"Barry M, Casper (2000).",English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,"Reality is not only stranger than we imagine, it is stranger than we can imagine.",,"Reality is not only stranger than we imagine, it is stranger than we can imagine.",English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,"Caper, R. (1999).",,"Caper, R. (1999).",English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,Reality is often stranger than fiction.,,Reality is often stranger than fiction.,English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,"Pearce, G. and C. McLaughlin (2007). Truth or dare: art & documentary, Intellect.",,"Pearce, G. and C. McLaughlin (2007). Truth or dare: art & documentary, Intellect.",English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,Repetition is the mother of memory.,,Repetition is the mother of memory.,English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,"Rowlingson, Cameron B. (1919).",,"Rowlingson, Cameron B. (1919).",English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,Revenge is a dish best served cold.,,Revenge is a dish best served cold.,English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,A rising tide lifts all boats.,,A rising tide lifts all boats.,English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,Meaning: General improvements in the economy will benefit everyone.,,Meaning: General improvements in the economy will benefit everyone.,English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,This traditional proverb is sometimes attributed to.,,This traditional proverb is sometimes attributed to.,English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,"As they say on my own Cape Cod, a rising tide lifts all the boats.",,"As they say on my own Cape Cod, a rising tide lifts all the boats.",English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,The road to hell is paved with good intentions.,,The road to hell is paved with good intentions.,English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,Earlier variants of this proverb are recorded as.,,Earlier variants of this proverb are recorded as.,English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,"Similar from Latin: ""The gates of hell are open night and day; Smooth the descent, and easy is the way"" — Virgil, the.",,"Similar from Latin: ""The gates of hell are open night and day; Smooth the descent, and easy is the way"" — Virgil, the.",English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,A rolling stone gathers no moss.,,A rolling stone gathers no moss.,English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,Early versions include:.,,Early versions include:.,English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,Saxum volutum non obducitur musco.,,Saxum volutum non obducitur musco.,English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,A rolling stone does not gather moss.,,A rolling stone does not gather moss.,English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,Musco lapis volutus haud obducitur.,,Musco lapis volutus haud obducitur.,English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,A rolling stone is not covered with moss.,,A rolling stone is not covered with moss.,English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,The rollyng ſtone neuer gathereth moſſse.,,The rollyng ſtone neuer gathereth moſſse.,English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,The rolling stone never gathers moss.,,The rolling stone never gathers moss.,English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,Rome wasn't built in a day.,,Rome wasn't built in a day.,English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,Meaning: It takes time to create something impressive.,,Meaning: It takes time to create something impressive.,English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,"Coady, Linus J. (1984).",,"Coady, Linus J. (1984).",English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,The rotten apple injures its neighbors.,,The rotten apple injures its neighbors.,English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,Rules were meant to be broken.,,Rules were meant to be broken.,English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,Say something nice or say nothing at all.,,Say something nice or say nothing at all.,English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,"Fluke, Joanne (2010).",,"Fluke, Joanne (2010).",English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,Seek and ye shall find.,,Seek and ye shall find.,English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,Seeing is believing.,,Seeing is believing.,English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,Meaning: You believe in something when it is confirmed by concrete evidence.,,Meaning: You believe in something when it is confirmed by concrete evidence.,English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,"Martin, Elena (2005).",,"Martin, Elena (2005).",English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,Self trust is the first secret of success.,,Self trust is the first secret of success.,English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,"Scorza, J. A. (2008). Strong liberalism: habits of mind for democratic citizenship, University Press of New England.",,"Scorza, J. A. (2008). Strong liberalism: habits of mind for democratic citizenship, University Press of New England.",English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,"Sell a man a fish, he eats for a day, teach a man how to fish, he eats for the rest of his life.",,"Sell a man a fish, he eats for a day, teach a man how to fish, he eats for the rest of his life.",English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,"D'Ambrosio-Crabtree, G. (2008).",,"D'Ambrosio-Crabtree, G. (2008).",English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,Set a thief to catch a thief.,,Set a thief to catch a thief.,English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,Shit or get off the pot.,,Shit or get off the pot.,English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,Meaning: Fulfill your goals or give up them.,,Meaning: Fulfill your goals or give up them.,English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,"Gaddis, W. (1975). J R, Knopf : distributed by Random House.",,"Gaddis, W. (1975). J R, Knopf : distributed by Random House.",English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,"Shoemaker, not above the sandal.",,"Shoemaker, not above the sandal.",English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,Meaning: Do not talk about things you do not know anything about.,,Meaning: Do not talk about things you do not know anything about.,English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,Silence is golden.,,Silence is golden.,English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,Slow and steady wins the race.,,Slow and steady wins the race.,English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,Variant: Slowly but surely wins the race.,,Variant: Slowly but surely wins the race.,English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,"Smile, and the world smiles with you; cry, and you cry alone.",,"Smile, and the world smiles with you; cry, and you cry alone.",English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,"Dela Riva, M. Pebbles in the Pond, Goodwill Trading Co., Inc.",,"Dela Riva, M. Pebbles in the Pond, Goodwill Trading Co., Inc.",English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,"Some days you get the bear, other days the bear gets you.",,"Some days you get the bear, other days the bear gets you.",English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,"Meaning: Some days you win, and some days you lose.",,"Meaning: Some days you win, and some days you lose.",English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,2002).,,2002).,English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,Someone who gossips to you will gossip about you.,,Someone who gossips to you will gossip about you.,English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,Something is better than nothing.,,Something is better than nothing.,English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,A son is a son 'till he gets him a wife; a daughter's a daughter all her life.,,A son is a son 'till he gets him a wife; a daughter's a daughter all her life.,English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,"Spare the rod, spoil the child.",,"Spare the rod, spoil the child.",English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,The spirit is willing but the flesh is weak.,,The spirit is willing but the flesh is weak.,English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,Gospel of Matthew.,,Gospel of Matthew.,English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,The squeaky wheel gets the grease.,,The squeaky wheel gets the grease.,English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,Meaning: A person that complains about a service often gets much.,,Meaning: A person that complains about a service often gets much.,English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,"King, Jim (2009).",,"King, Jim (2009).",English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
English,Sticks and stones may break my bones but words will never hurt me.,,Sticks and stones may break my bones but words will never hurt me.,English proverbs (alphabetically by proverb),https://en.wikiquote.org/wiki/English_proverbs_(alphabetically_by_proverb)
